event_start,event_value
2026-01-01T00:00:00+01:00,1.791142373376586
2026-01-01T00:15:00+01:00,1.6519971815785397
2026-01-01T00:30:00+01:00,1.7249664340821047
2026-01-01T00:45:00+01:00,1.743543530982809
2026-01-01T01:00:00+01:00,1.8115051997292395
2026-01-01T01:15:00+01:00,1.9356325189660335
2026-01-01T01:30:00+01:00,1.747410964214502
2026-01-01T01:45:00+01:00,1.6947221825602832
2026-01-01T02:00:00+01:00,1.5985300920013463
2026-01-01T02:15:00+01:00,1.5183011671412343
2026-01-01T02:30:00+01:00,1.4972490450881486
2026-01-01T02:45:00+01:00,1.524564607396785
2026-01-01T03:00:00+01:00,1.489563079566388
2026-01-01T03:15:00+01:00,1.6434938873634042
2026-01-01T03:30:00+01:00,1.5909525701227416
2026-01-01T03:45:00+01:00,1.5200390940459727
2026-01-01T04:00:00+01:00,1.5396858501684358
2026-01-01T04:15:00+01:00,1.4016259873841797
2026-01-01T04:30:00+01:00,1.425437381228125
2026-01-01T04:45:00+01:00,1.4609551460602332
2026-01-01T05:00:00+01:00,1.4718329927531562
2026-01-01T05:15:00+01:00,1.4077542145852635
2026-01-01T05:30:00+01:00,1.4128040768033698
2026-01-01T05:45:00+01:00,1.4224726227036597
2026-01-01T06:00:00+01:00,1.7642557942439834
2026-01-01T06:15:00+01:00,1.976824397212377
2026-01-01T06:30:00+01:00,2.2421729063199556
2026-01-01T06:45:00+01:00,2.438780333999425
2026-01-01T07:00:00+01:00,2.667053730013534
2026-01-01T07:15:00+01:00,2.049242559205415
2026-01-01T07:30:00+01:00,2.1880161742897255
2026-01-01T07:45:00+01:00,1.835948112880494
2026-01-01T08:00:00+01:00,2.061347292741905
2026-01-01T08:15:00+01:00,2.9724157543579515
2026-01-01T08:30:00+01:00,2.8359059126068886
2026-01-01T08:45:00+01:00,2.840915678668997
2026-01-01T09:00:00+01:00,2.4771771472230064
2026-01-01T09:15:00+01:00,1.9564980259351108
2026-01-01T09:30:00+01:00,1.8257116627030296
2026-01-01T09:45:00+01:00,2.429665981958724
2026-01-01T10:00:00+01:00,2.27532644326504
2026-01-01T10:15:00+01:00,3.3374255718105967
2026-01-01T10:30:00+01:00,3.074449054190782
2026-01-01T10:45:00+01:00,3.0316356671402747
2026-01-01T11:00:00+01:00,3.2672002588375126
2026-01-01T11:15:00+01:00,3.21302220971031
2026-01-01T11:30:00+01:00,3.198383792856595
2026-01-01T11:45:00+01:00,3.200444231612395
2026-01-01T12:00:00+01:00,3.8459982372456945
2026-01-01T12:15:00+01:00,3.9202382660430506
2026-01-01T12:30:00+01:00,3.63779106918022
2026-01-01T12:45:00+01:00,3.605178684870895
2026-01-01T13:00:00+01:00,3.506861719357262
2026-01-01T13:15:00+01:00,3.744045195327351
2026-01-01T13:30:00+01:00,3.6506004559636582
2026-01-01T13:45:00+01:00,3.425678501136604
2026-01-01T14:00:00+01:00,3.47221496589342
2026-01-01T14:15:00+01:00,3.793311358533923
2026-01-01T14:30:00+01:00,3.689619613791528
2026-01-01T14:45:00+01:00,3.625610044392872
2026-01-01T15:00:00+01:00,3.514707013383864
2026-01-01T15:15:00+01:00,3.610691481651373
2026-01-01T15:30:00+01:00,3.624935454351494
2026-01-01T15:45:00+01:00,3.598488320799012
2026-01-01T16:00:00+01:00,3.116926342635577
2026-01-01T16:15:00+01:00,3.1517543623969897
2026-01-01T16:30:00+01:00,3.574284773166831
2026-01-01T16:45:00+01:00,3.632046783289033
2026-01-01T17:00:00+01:00,3.067084076422137
2026-01-01T17:15:00+01:00,3.3590650654490046
2026-01-01T17:30:00+01:00,3.45459535001266
2026-01-01T17:45:00+01:00,3.159928768241016
2026-01-01T18:00:00+01:00,2.8581768257393825
2026-01-01T18:15:00+01:00,2.713522484459709
2026-01-01T18:30:00+01:00,2.8611893992963733
2026-01-01T18:45:00+01:00,2.4466392526868543
2026-01-01T19:00:00+01:00,3.1510717672884816
